Country;req_countries;req_earths
Afghanistan;2.0;0.4
Albania;1.9;1.2
Algeria;4.1;1.5
Angola;0.5;0.5
Antigua and Barbuda;5.4;2.9
Argentina;0.5;2.1
Armenia;3.1;1.2
Aruba;8.0;2.8
Australia;0.6;4.5
Austria;2.3;3.8
Azerbaijan;2.6;1.3
Bahamas;0.5;2.7
Bahrain;17.6;5.2
Bangladesh;2.2;0.6
Barbados;21.3;2.5
Belarus;1.5;2.8
Belgium;9.0;4.3
Belize;2.2;5.0
Benin;1.7;1.0
Bermuda;43.0;3.3
Bhutan;1.0;3.3
Bolivia;0.2;2.0
Bosnia and Herzegovina;1.9;2.5
Botswana;0.7;1.5
Brazil;0.3;1.6
British Virgin Islands;1.2;1.5
Brunei Darussalam;2.0;3.4
Bulgaria;1.1;2.3
Burkina Faso;1.3;0.8
Burundi;1.5;0.5
Cabo Verde;3.9;1.2
Cambodia;1.3;0.9
Cameroon;0.8;0.8
Canada;0.5;5.1
Cayman Islands;10.9;1.9
Central African Republic;0.2;0.8
Chad;1.0;1.0
Chile;1.3;2.7
China;4.1;2.4
Colombia;0.5;1.2
Comoros;3.4;0.8
Congo;0.1;0.6
Congo, Democratic Republic of;0.4;0.5
Cook Islands;5.9;5.2
Costa Rica;1.6;1.5
Croatia;1.4;2.5
Cuba;2.3;1.1
Cyprus;18.7;2.4
Czech Republic;2.5;3.6
Cote d'Ivoire;0.8;0.9
Denmark;1.8;4.2
Djibouti;3.4;1.5
Dominica;2.2;1.6
Dominican Republic;2.6;1.1
Ecuador;0.9;1.1
Egypt;5.0;1.2
El Salvador;3.4;1.3
Equatorial Guinea;0.6;1.3
Eritrea;0.4;0.5
Estonia;0.9;5.1
Eswatini;2.6;1.6
Ethiopia;1.8;0.6
Fiji;1.1;1.7
Finland;0.5;4.1
France;1.9;2.8
French Guiana;0,00;1.2
French Polynesia;3.1;2.5
Gabon;0.1;1.2
Gambia;2.0;0.7
Georgia;1.8;1.5
Germany;3.1;3.0
Ghana;1.5;1.3
Greece;3.5;2.6
Grenada;1.2;1.6
Guadeloupe;7.0;2.3
Guatemala;1.9;1.1
Guinea;0.9;1.2
Guinea-Bissau;0.6;0.9
Guyana;0,00;2.2
Haiti;2.6;0.4
Honduras;0.9;1.0
Hungary;1.5;2.4
India;2.7;0.8
Indonesia;1.4;1.1
Iran, Islamic Republic of;4.5;2.1
Iraq;11.3;1.1
Ireland;1.7;3.3
Israel;25.4;2.9
Italy;5.2;2.7
Jamaica;3.9;1.0
Japan;7.8;2.9
Jordan;11.7;1.1
Kazakhstan;1.4;3.1
Kenya;2.1;0.6
Korea, Democratic People's Republic of;2.1;0.7
Korea, Republic of;9.8;4.0
Kuwait;15.8;5.0
Kyrgyzstan;1.3;1.0
Lao People's Democratic Republic;1.1;1.2
Latvia;0.8;4.0
Lebanon;11.7;1.9
Lesotho;1.9;1.0
Liberia;0.4;0.8
Libyan Arab Jamahiriya;5.5;2.1
Lithuania;1.3;3.8
Luxembourg;10.7;8.2
Madagascar;0.4;0.6
Malawi;1.3;0.6
Malaysia;2.0;2.7
Mali;0.9;1.0
Malta;11.2;3.4
Martinique;8.6;2.2
Mauritania;0.6;1.6
Mauritius;4.8;2.0
Mexico;2.1;1.5
Mongolia;0.5;4.6
Montenegro;1.7;2.7
Montserrat;3.4;2.7
Morocco;2.2;1.1
Mozambique;0.5;0.5
Myanmar;0.9;1.0
Namibia;0.4;1.6
Nepal;1.9;0.8
Netherlands;7.3;3.6
New Zealand;0.6;3.3
Nicaragua;0.7;0.9
Niger;1.2;1.0
Nigeria;1.6;0.7
Norway;0.8;3.6
Oman;4.4;4,00
Pakistan;2.3;0.5
Panama;1.2;1.8
Papua New Guinea;0.5;1.1
Paraguay;0.3;1.9
Peru;0.7;1.5
Philippines;2.9;0.9
Poland;2.5;3.0
Portugal;3.5;2.9
Qatar;15.5;9.0
Republic of Moldova;1.5;1.2
Republic of North Macedonia;2.1;2,00
Romania;1.1;2.3
Russian Federation;0.8;3.4
Rwanda;1.9;0.5
Reunion;26.4;2.9
Saint Lucia;7.1;1.4
Samoa;1.5;1.7
Sao Tome and Principe;1.7;0.8
Saudi Arabia;12.1;3.1
Senegal;1.3;0.9
Serbia;1.8;1.9
Sierra Leone;1.1;0.7
Singapore;104.6;3.7
Slovakia;1.7;3.0
Slovenia;2.4;3.4
Solomon Islands;0.5;1.1
Somalia;1.2;0.6
South Africa;3.8;2.4
South Sudan;0.9;1.0
Spain;2.9;2.8
Sri Lanka;3.3;1.0
State of Palestine;11.9;0.7
Sudan;1.1;0.9
Suriname;0,00;1.9
Sweden;0.7;4.0
Switzerland;4.4;2.7
Syrian Arab Republic;2.7;0.8
Tajikistan;2.4;0.7
Tanzania, United Republic of;1.2;0.7
Thailand;1.9;1.5
Timor-Leste;0.4;0.4
Togo;1.8;0.7
Tonga;2.7;1.8
Trinidad and Tobago;5.0;4.7
Tunisia;3.0;1.3
Turkey;2.6;2.1
Turkmenistan;2.1;3.1
Uganda;2.3;0.7
Ukraine;0.9;1.5
United Arab Emirates;15.7;5.1
United Kingdom;4.1;2.6
United States of America;2.4;5.1
Uzbekistan;3.1;1.3
Venezuela, Bolivarian Republic of;0.9;1.5
Viet Nam;2.4;1.4
Yemen;1.4;0.3
Zambia;0.7;0.8
Zimbabwe;2.0;0.8
